official-name,local-authority-code,s1_gov,s2_m&a,s3_c&a,s4_coms,s5_mset,s6_cb,s7_dsi,s8_est,s9_ee,weighted_total,local-authority-type-name,council-quintile,pop_bucket,region,ruc_cluster,political_control,group
Somerset West and Taunton Council,SWT,81,100,100,89,100,100,60,100,100,91,Non-metropolitan district,2.0,140k - 160k,South West,Urban with rural areas,Liberal Democrat,District councils
Staffordshire Moorlands District Council,STF,71,61,100,100,80,100,100,100,75,87,Non-metropolitan district,3.0,90k - 100k,West Midlands,Urban with rural areas,Coalition/Minority,District councils
East Devon District Council,EDE,56,100,71,89,80,100,40,80,100,78,Non-metropolitan district,4.0,140k - 160k,South West,Rural,Coalition/Minority,District councils
Stroud District Council,STO,71,83,100,100,80,75,20,60,75,77,Non-metropolitan district,5.0,120k - 130k,South West,Urban with rural areas,Coalition/Minority,District councils
Waverley Borough Council,WAE,86,94,86,89,80,100,0,60,75,76,Non-metropolitan district,5.0,120k - 130k,South East,Urban with rural areas,Coalition/Minority,District councils
Maidstone Borough Council,MAI,95,83,100,89,40,100,20,20,75,72,Non-metropolitan district,3.0,170k - 250k,South East,Urban with rural areas,Conservative,District councils
West Devon Borough Council,WDE,76,61,86,89,80,100,40,40,75,72,Non-metropolitan district,2.0,50k - 80k,South West,Sparse and rural,Coalition/Minority,District councils
Mendip District Council,MEN,76,100,43,78,80,100,40,40,100,71,Non-metropolitan district,3.0,110k - 120k,South West,Urban with rural areas,Liberal Democrat,District councils
Sedgemoor District Council,SEG,62,100,56,67,60,100,20,100,100,71,Non-metropolitan district,2.0,120k - 130k,South West,Urban with rural areas,Conservative,District councils
Woking Borough Council,WOI,52,94,86,78,100,75,0,60,75,70,Non-metropolitan district,5.0,90k - 100k,South East,Urban,Coalition/Minority,District councils
South Derbyshire District Council,SDE,95,50,86,89,100,25,40,40,50,70,Non-metropolitan district,3.0,110k - 120k,East Midlands,Urban with rural areas,Coalition/Minority,District councils
North Kesteven District Council,NKE,71,100,71,67,100,75,40,20,50,69,Non-metropolitan district,5.0,110k - 120k,East Midlands,Rural,Coalition/Minority,District councils
South Hams District Council,SHA,71,56,56,89,100,100,0,60,75,66,Non-metropolitan district,4.0,80k - 90k,South West,Rural,Conservative,District councils
Reigate and Banstead Borough Council,REI,48,94,86,78,60,50,0,60,75,64,Non-metropolitan district,5.0,140k - 160k,South East,Urban,Conservative,District councils
Swale Borough Council,SWL,62,72,86,67,80,100,40,0,75,64,Non-metropolitan district,1.0,140k - 160k,South East,Urban with rural areas,Coalition/Minority,District councils
Mole Valley District Council,MOL,67,94,86,56,60,75,0,60,50,64,Non-metropolitan district,5.0,80k - 90k,South East,Urban with rural areas,Liberal Democrat,District councils
Cambridge City Council,CAB,48,72,86,78,80,75,60,0,75,64,Non-metropolitan district,3.0,120k - 130k,East of England,Urban,Labour,District councils
Tonbridge and Malling Borough Council,TON,62,72,86,78,80,100,20,20,50,64,Non-metropolitan district,4.0,120k - 130k,South East,Urban with rural areas,Conservative,District councils
West Suffolk Council,WSK,81,67,71,67,80,75,0,60,75,64,Non-metropolitan district,3.0,170k - 250k,East of England,Urban with rural areas,Conservative,District councils
Surrey Heath Borough Council,SUR,56,94,86,67,60,50,0,60,50,63,Non-metropolitan district,5.0,80k - 90k,South East,Urban,Conservative,District councils
Torridge District Council,TOR,62,56,86,89,80,50,0,40,75,62,Non-metropolitan district,1.0,50k - 80k,South West,Sparse and rural,Coalition/Minority,District councils
Exeter City Council,EXE,48,50,86,67,60,75,40,60,75,61,Non-metropolitan district,3.0,120k - 130k,South West,Urban,Labour,District councils
Fareham Borough Council,FAR,38,89,43,78,100,50,40,40,75,61,Non-metropolitan district,5.0,110k - 120k,South East,Urban,Conservative,District councils
Canterbury City Council,CAT,56,61,100,44,60,100,20,40,75,60,Non-metropolitan district,3.0,170k - 250k,South East,Urban,Conservative,District councils
South Ribble Borough Council,SRI,43,72,71,67,80,75,0,80,50,60,Non-metropolitan district,3.0,110k - 120k,North West,Urban,Coalition/Minority,District councils
Epping Forest District Council,EPP,52,61,56,67,60,100,60,40,50,59,Non-metropolitan district,3.0,120k - 130k,East of England,Urban with rural areas,Conservative,District councils
Elmbridge Borough Council,ELM,48,94,86,44,80,50,0,60,25,59,Non-metropolitan district,5.0,140k - 160k,South East,Urban,Coalition/Minority,District councils
Folkestone and Hythe District Council,SHE,71,56,86,56,60,100,20,20,75,59,Non-metropolitan district,1.0,110k - 120k,South East,Urban with rural areas,Coalition/Minority,District councils
Mid Suffolk District Council,MSU,67,72,71,67,40,50,0,60,75,57,Non-metropolitan district,4.0,90k - 100k,East of England,Sparse and rural,Coalition/Minority,District councils
Thanet District Council,THA,48,67,71,78,20,100,20,60,75,57,Non-metropolitan district,1.0,140k - 160k,South East,Urban,Coalition/Minority,District councils
Babergh District Council,BAB,67,72,71,67,40,50,0,60,75,57,Non-metropolitan district,3.0,80k - 90k,East of England,Rural,Coalition/Minority,District councils
Blaby District Council,BLA,52,56,56,78,100,50,0,60,25,56,Non-metropolitan district,5.0,90k - 100k,East Midlands,Urban with rural areas,Conservative,District councils
Lewes District Council,LEE,81,50,71,56,100,0,20,40,50,56,Non-metropolitan district,3.0,90k - 100k,South East,Urban with rural areas,Coalition/Minority,District councils
Mid Devon District Council,MDE,43,56,71,56,80,75,20,60,75,56,Non-metropolitan district,3.0,80k - 90k,South West,Rural,Coalition/Minority,District councils
South Somerset District Council,SSO,52,100,56,56,40,100,0,40,75,56,Non-metropolitan district,2.0,170k - 250k,South West,Rural,Liberal Democrat,District councils
Allerdale Borough Council,ALL,62,67,43,56,60,50,40,80,50,56,Non-metropolitan district,1.0,90k - 100k,North West,Rural,Coalition/Minority,District councils
Ashford Borough Council,ASF,43,61,86,78,20,100,20,20,75,55,Non-metropolitan district,2.0,120k - 130k,South East,Urban with rural areas,Conservative,District councils
Epsom and Ewell Borough Council,EPS,48,78,86,44,40,50,0,60,75,55,Non-metropolitan district,5.0,80k - 90k,South East,Urban,Independent,District councils
Three Rivers District Council,THE,28,78,43,89,100,75,20,0,75,55,Non-metropolitan district,5.0,80k - 90k,East of England,Urban,Liberal Democrat,District councils
