question_id,Question description,Options,Scores
s1_gov_q1,"Is the Plan led by a senior lead officer with a named individual, cabinet member or committee responsible for developing and delivering the Plan and are the actions assigned?",HEADER,0
s1_gov_q1_sp1,The Plan is led by a senior lead officer with a cabinet member or committee responsible for development and delivery.,CHECKBOX,1
s1_gov_q1_sp2,The individual actions in the Plan are assigned to an officer or committee to ensure they are completed on time.,CHECKBOX,1
s1_gov_q1_sp3,"The Plan identifies the key bodies needed to deliver actions. 

Must mention top 4 bullets + 1 other from the list to get the point

This must include:
• The local authority
• The local authority in partnership 
• Local residents
• Anchor institutions

Including but not limited to:
• Local statutory organisations
• VCSE/third sector
• Local businesses
• NGOs
• Other councils in the area
• Distribution Network Operators (DNOs)
• Utility companies
• The National Government
• Arts organisations
• Local Enterprise Partnerships (LEPs)
• Community organisations
• Transport operators
• Council owned companies and enterprises
• Housing association",CHECKBOX,1
s1_gov_q2,Does the Plan include science backed net-zero targets in which the terms are defined and the scope is considered?,HEADER,
s1_gov_q2_sp1_v2,The Plan contains yearly or interim targets for carbon reduction in the whole district up until the net-zero target date.,CHECKBOX,1
s1_gov_q2_sp1_v2_b,The Plan states a net-zero target for the whole district,"No, A target of 2030 or earlier, A target of 2031 - 2050","0,2,1"
s1_gov_q2_sp2,The council has a target of reaching net-zero for their own emissions by 2030.,CHECKBOX,1
s1_gov_q2_sp3,"The terms, scope and fairness are defined:

3 bullet points = 1 point
4 or more bullet points = 2 points

• The terms of net-zero are defined clearly
• The scope of the net-zero target is considered e.g. what gases are included
• An annual reduction percentage is calculated which ensures the council stays within its carbon budget
• The Plan sets out a statement of long term intent in which it details how it plans to go carbon negative after reaching net-zero
• The fairness of the targets is considered e.g. recognising that some areas have a greater responsibility to carbon reduction than others due to economic factors, historic emissions data etc.","3 bullet points covered, 4 or more bullet points covered","1,2"
s1_gov_q3,Is commitment to the Climate Emergency Action Plan embedded in the council’s Corporate Plan as well as all the council’s decisions and actions?,HEADER,
s1_gov_q3_sp1,Links to the Corporate Plan and commitment to the climate emergency Action Plan is embedded in the council’s Corporate Plan.,CHECKBOX,1
s1_gov_q3_sp2,"The Plan commits to placing the climate emergency at the centre of all its decisions and actions.

This means:
• There should be a line in the Plan that commits to this e.g. Nottingham’s Plan says: ‘This is one of the most important and complex challenges any society has faced, which is why the Council has taken it to the core of how it operates.’",CHECKBOX,1
s1_gov_q4,Does the Plan set out a plan for funding and costing?,HEADER,
s1_gov_q4_sp1,"The Plan identifies funding for the actions.

Including but not limited to:
• Identifying if funding exists for an action
• If funding does not exist, identifying where the funding can be sought
• Considering the council’s own internal budgets to ensure they are being used most effectively to support carbon neutrality.",CHECKBOX,1
s1_gov_q4_sp2,The cost of the actions in the Plan is outlined.,CHECKBOX,1
s1_gov_q4_sp3,The Plan sets out financial return on investment where applicable e.g. renewable energy projects.,CHECKBOX,1
s1_gov_q4_sp4,"The Plan identifies ways of raising funds.

For example:
• Workplace Parking Levy*
• Licensing of private rented sector*
• Equity investors in infrastructure projects",CHECKBOX,1
s1_gov_q4_sp5,The Plan outlines how the local authority will allocate funds to ensure budgets are being used most effectively to support carbon neutrality.,CHECKBOX,1
s1_gov_q5,Does the Plan explain what the local authority can and cannot do and acknowledge actions that require support from Government? ,HEADER,
s1_gov_q5_sp1,"The Plan recognises there is a limit to what the council can and cannot do on its own and includes notes on what it has control over.

For example:
• Transport
• Roads
• Education
• Recycling 
• etc.",CHECKBOX,1
s1_gov_q5_sp2,The Plan commits the authority to lobbying higher levels of government when it comes across limitations of legislation and finance that impede it from taking action on the climate crisis.,CHECKBOX,1
s1_gov_q6,"Has the council committed to implementing a monitoring system in order to evaluate, review and update its targets?",HEADER,
s1_gov_q6_sp1,The council has a monitoring system in place for evaluating and reviewing the Action Plan.,CHECKBOX,1
