answer_id,local-authority-code,question_id,audited_answer,score,max_score
ABC_s1_gov_q1_sp1,ABC,s1_gov_q1_sp1,,,1
ABC_s8_est_q26_sp1,ABC,s8_est_q26_sp1,,,1
ABC_s2_m&a_q9_sp8,ABC,s2_m&a_q9_sp8,,,1
ABC_s2_m&a_q9_sp1,ABC,s2_m&a_q9_sp1,,,1
ABC_s1_gov_q3_sp2,ABC,s1_gov_q3_sp2,,,1
ABC_s7_dsi_q22_sp2,ABC,s7_dsi_q22_sp2,,,2
ABC_s2_m&a_q9_sp7,ABC,s2_m&a_q9_sp7,,,1
ABC_s5_mset_q19_sp2,ABC,s5_mset_q19_sp2,,,1
ABC_s2_m&a_q8_sp8,ABC,s2_m&a_q8_sp8,,,1
ABC_s2_m&a_q9_sp6,ABC,s2_m&a_q9_sp6,,,1
ABC_s2_m&a_q8_sp9,ABC,s2_m&a_q8_sp9,,,1
ABC_s2_m&a_q9_sp5,ABC,s2_m&a_q9_sp5,,,1
ABC_s1_gov_q4_sp4,ABC,s1_gov_q4_sp4,,,1
ABC_s3_c&a_q12_sp2,ABC,s3_c&a_q12_sp2,,,1
ABC_s2_m&a_q8_sp3,ABC,s2_m&a_q8_sp3,,,1
ABC_s2_m&a_q8_sp6,ABC,s2_m&a_q8_sp6,,,1
ABC_s1_gov_q6_sp2,ABC,s1_gov_q6_sp2,,,1
ABC_s4_coms_q15_sp3,ABC,s4_coms_q15_sp3,,,1
ABC_s3_c&a_q10_sp2,ABC,s3_c&a_q10_sp2,,,1
ABC_s7_dsi_q23_sp1,ABC,s7_dsi_q23_sp1,,,1
ABC_s1_gov_q3_sp1,ABC,s1_gov_q3_sp1,,,1
ABC_s1_gov_q2_sp1_v2,ABC,s1_gov_q2_sp1_v2,,,1
ABC_s3_c&a_q12_sp1,ABC,s3_c&a_q12_sp1,,,1
ABC_s1_gov_q2_sp2,ABC,s1_gov_q2_sp2,,,1
ABC_s5_mset_q19_sp1,ABC,s5_mset_q19_sp1,,,1
ABC_s9_ee_q27_sp3,ABC,s9_ee_q27_sp3,,,1
ABC_s2_m&a_q8_sp2,ABC,s2_m&a_q8_sp2,,,1
ABC_s3_c&a_q11_sp2,ABC,s3_c&a_q11_sp2,,,1
ABC_s2_m&a_q9_sp2,ABC,s2_m&a_q9_sp2,,,1
ABC_s4_coms_q13_sp2,ABC,s4_coms_q13_sp2,,,1
ABC_s4_coms_q14_sp2,ABC,s4_coms_q14_sp2,,,1
ABC_s6_cb_q21_sp1,ABC,s6_cb_q21_sp1,,,1
ABC_s2_m&a_q7_sp1,ABC,s2_m&a_q7_sp1,,,1
ABC_s2_m&a_q9_sp4,ABC,s2_m&a_q9_sp4,,,1
ABC_s1_gov_q4_sp3,ABC,s1_gov_q4_sp3,,,1
ABC_s8_est_q26_sp2,ABC,s8_est_q26_sp2,,,1
ABC_s9_ee_q27_sp2,ABC,s9_ee_q27_sp2,,,1
ABC_s9_ee_q28_sp1,ABC,s9_ee_q28_sp1,,,1
ABC_s5_mset_q18_sp1,ABC,s5_mset_q18_sp1,,,1
ABC_s1_gov_q4_sp2,ABC,s1_gov_q4_sp2,,,1
ABC_s4_coms_q17_sp1,ABC,s4_coms_q17_sp1,,,1
ABC_s1_gov_q6_sp3,ABC,s1_gov_q6_sp3,,,1
ABC_s4_coms_q15_sp1,ABC,s4_coms_q15_sp1,,,1
ABC_s4_coms_q14_sp1,ABC,s4_coms_q14_sp1,,,1
ABC_s6_cb_q21_sp2,ABC,s6_cb_q21_sp2,,,1
ABC_s1_gov_q5_sp1,ABC,s1_gov_q5_sp1,,,1
ABC_s2_m&a_q8_sp7,ABC,s2_m&a_q8_sp7,,,1
ABC_s3_c&a_q10_sp1,ABC,s3_c&a_q10_sp1,,,1
ABC_s4_coms_q15_sp2,ABC,s4_coms_q15_sp2,,,1
ABC_s2_m&a_q8_sp1,ABC,s2_m&a_q8_sp1,,,1
ABC_s1_gov_q1_sp2,ABC,s1_gov_q1_sp2,,,1
ABC_s1_gov_q2_sp1_v2_b,ABC,s1_gov_q2_sp1_v2_b,,,2
ABC_s1_gov_q4_sp1,ABC,s1_gov_q4_sp1,,,1
ABC_s4_coms_q13_sp3_new,ABC,s4_coms_q13_sp3_new,,,1
ABC_s7_dsi_q22_sp1,ABC,s7_dsi_q22_sp1,,,2
