local-authority-code,section,max_score,score,section_name
ABC,s1_gov,21,0.0,"Governance, development and funding"
ABC,s2_m&a,18,0.0,Mitigation and adaptation
ABC,s3_c&a,7,0.0,Commitment and intergration
ABC,s4_coms,9,0.0,"Community, engagement and communications"
ABC,s5_mset,5,0.0,Measuring and setting emissions targets
ABC,s6_cb,4,0.0,Co-benefits
ABC,s7_dsi,5,0.0,Diversity and inclusion
ABC,s8_est,5,0.0,"Education, skills and training"
ABC,s9_ee,4,0.0,Ecological emergency
ABD,s1_gov,21,0.0,"Governance, development and funding"
ABD,s2_m&a,18,0.0,Mitigation and adaptation
ABD,s3_c&a,7,0.0,Commitment and intergration
ABD,s4_coms,9,0.0,"Community, engagement and communications"
ABD,s5_mset,5,0.0,Measuring and setting emissions targets
ABD,s6_cb,4,0.0,Co-benefits
ABD,s7_dsi,5,0.0,Diversity and inclusion
ABD,s8_est,5,0.0,"Education, skills and training"
ABD,s9_ee,4,0.0,Ecological emergency
ABE,s1_gov,21,10.0,"Governance, development and funding"
ABE,s2_m&a,18,9.0,Mitigation and adaptation
ABE,s3_c&a,7,3.0,Commitment and intergration
ABE,s4_coms,9,4.0,"Community, engagement and communications"
ABE,s5_mset,5,2.0,Measuring and setting emissions targets
ABE,s6_cb,4,2.0,Co-benefits
ABE,s7_dsi,5,0.0,Diversity and inclusion
ABE,s8_est,5,1.0,"Education, skills and training"
ABE,s9_ee,4,0.0,Ecological emergency
ADU,s1_gov,21,13.0,"Governance, development and funding"
ADU,s2_m&a,18,12.0,Mitigation and adaptation
ADU,s3_c&a,7,2.0,Commitment and intergration
ADU,s4_coms,9,5.0,"Community, engagement and communications"
ADU,s5_mset,5,3.0,Measuring and setting emissions targets
ADU,s6_cb,4,3.0,Co-benefits
ADU,s7_dsi,5,2.0,Diversity and inclusion
ADU,s8_est,5,3.0,"Education, skills and training"
ADU,s9_ee,4,2.0,Ecological emergency
AGB,s1_gov,21,11.0,"Governance, development and funding"
AGB,s2_m&a,18,8.0,Mitigation and adaptation
AGB,s3_c&a,7,2.0,Commitment and intergration
AGB,s4_coms,9,4.0,"Community, engagement and communications"
AGB,s5_mset,5,2.0,Measuring and setting emissions targets
AGB,s6_cb,4,2.0,Co-benefits
AGB,s7_dsi,5,1.0,Diversity and inclusion
AGB,s8_est,5,0.0,"Education, skills and training"
AGB,s9_ee,4,1.0,Ecological emergency
AGY,s1_gov,21,0.0,"Governance, development and funding"
AGY,s2_m&a,18,0.0,Mitigation and adaptation
AGY,s3_c&a,7,0.0,Commitment and intergration
AGY,s4_coms,9,0.0,"Community, engagement and communications"
AGY,s5_mset,5,0.0,Measuring and setting emissions targets
AGY,s6_cb,4,0.0,Co-benefits
AGY,s7_dsi,5,0.0,Diversity and inclusion
AGY,s8_est,5,0.0,"Education, skills and training"
AGY,s9_ee,4,0.0,Ecological emergency
ALL,s1_gov,21,13.0,"Governance, development and funding"
ALL,s2_m&a,18,12.0,Mitigation and adaptation
ALL,s3_c&a,7,3.0,Commitment and intergration
ALL,s4_coms,9,5.0,"Community, engagement and communications"
ALL,s5_mset,5,3.0,Measuring and setting emissions targets
ALL,s6_cb,4,2.0,Co-benefits
ALL,s7_dsi,5,2.0,Diversity and inclusion
ALL,s8_est,5,4.0,"Education, skills and training"
ALL,s9_ee,4,2.0,Ecological emergency
AMB,s1_gov,21,5.0,"Governance, development and funding"
AMB,s2_m&a,18,1.0,Mitigation and adaptation
AMB,s3_c&a,7,1.0,Commitment and intergration
AMB,s4_coms,9,1.0,"Community, engagement and communications"
AMB,s5_mset,5,2.0,Measuring and setting emissions targets
AMB,s6_cb,4,2.0,Co-benefits
AMB,s7_dsi,5,1.0,Diversity and inclusion
AMB,s8_est,5,0.0,"Education, skills and training"
AMB,s9_ee,4,3.0,Ecological emergency
AND,s1_gov,21,7.0,"Governance, development and funding"
AND,s2_m&a,18,0.0,Mitigation and adaptation
AND,s3_c&a,7,6.0,Commitment and intergration
AND,s4_coms,9,4.0,"Community, engagement and communications"
AND,s5_mset,5,0.0,Measuring and setting emissions targets
AND,s6_cb,4,1.0,Co-benefits
AND,s7_dsi,5,0.0,Diversity and inclusion
AND,s8_est,5,2.0,"Education, skills and training"
AND,s9_ee,4,1.0,Ecological emergency
ANN,s1_gov,21,0.0,"Governance, development and funding"
ANN,s2_m&a,18,0.0,Mitigation and adaptation
ANN,s3_c&a,7,0.0,Commitment and intergration
ANN,s4_coms,9,0.0,"Community, engagement and communications"
ANN,s5_mset,5,0.0,Measuring and setting emissions targets
ANN,s6_cb,4,0.0,Co-benefits
ANN,s7_dsi,5,0.0,Diversity and inclusion
ANN,s8_est,5,0.0,"Education, skills and training"
ANN,s9_ee,4,0.0,Ecological emergency
ANS,s1_gov,21,0.0,"Governance, development and funding"
ANS,s2_m&a,18,0.0,Mitigation and adaptation
ANS,s3_c&a,7,0.0,Commitment and intergration
ANS,s4_coms,9,0.0,"Community, engagement and communications"
ANS,s5_mset,5,0.0,Measuring and setting emissions targets
ANS,s6_cb,4,0.0,Co-benefits
ANS,s7_dsi,5,0.0,Diversity and inclusion
ANS,s8_est,5,0.0,"Education, skills and training"
ANS,s9_ee,4,0.0,Ecological emergency
ARU,s1_gov,21,0.0,"Governance, development and funding"
ARU,s2_m&a,18,0.0,Mitigation and adaptation
ARU,s3_c&a,7,0.0,Commitment and intergration
ARU,s4_coms,9,0.0,"Community, engagement and communications"
ARU,s5_mset,5,0.0,Measuring and setting emissions targets
ARU,s6_cb,4,0.0,Co-benefits
ARU,s7_dsi,5,0.0,Diversity and inclusion
ARU,s8_est,5,0.0,"Education, skills and training"
ARU,s9_ee,4,0.0,Ecological emergency
ASF,s1_gov,21,9.0,"Governance, development and funding"
ASF,s2_m&a,18,11.0,Mitigation and adaptation
ASF,s3_c&a,7,6.0,Commitment and intergration
ASF,s4_coms,9,7.0,"Community, engagement and communications"
ASF,s5_mset,5,1.0,Measuring and setting emissions targets
ASF,s6_cb,4,4.0,Co-benefits
ASF,s7_dsi,5,1.0,Diversity and inclusion
ASF,s8_est,5,1.0,"Education, skills and training"
ASF,s9_ee,4,3.0,Ecological emergency
ASH,s1_gov,21,0.0,"Governance, development and funding"
ASH,s2_m&a,18,0.0,Mitigation and adaptation
ASH,s3_c&a,7,0.0,Commitment and intergration
ASH,s4_coms,9,0.0,"Community, engagement and communications"
ASH,s5_mset,5,0.0,Measuring and setting emissions targets
ASH,s6_cb,4,0.0,Co-benefits
ASH,s7_dsi,5,0.0,Diversity and inclusion
ASH,s8_est,5,0.0,"Education, skills and training"
ASH,s9_ee,4,0.0,Ecological emergency
BAB,s1_gov,21,14.0,"Governance, development and funding"
BAB,s2_m&a,18,13.0,Mitigation and adaptation
BAB,s3_c&a,7,5.0,Commitment and intergration
BAB,s4_coms,9,6.0,"Community, engagement and communications"
BAB,s5_mset,5,2.0,Measuring and setting emissions targets
BAB,s6_cb,4,2.0,Co-benefits
BAB,s7_dsi,5,0.0,Diversity and inclusion
BAB,s8_est,5,3.0,"Education, skills and training"
BAB,s9_ee,4,3.0,Ecological emergency
BAE,s1_gov,21,0.0,"Governance, development and funding"
BAE,s2_m&a,18,0.0,Mitigation and adaptation
BAE,s3_c&a,7,0.0,Commitment and intergration
BAE,s4_coms,9,0.0,"Community, engagement and communications"
BAE,s5_mset,5,0.0,Measuring and setting emissions targets
BAE,s6_cb,4,0.0,Co-benefits
BAE,s7_dsi,5,0.0,Diversity and inclusion
BAE,s8_est,5,0.0,"Education, skills and training"
BAE,s9_ee,4,0.0,Ecological emergency
BAI,s1_gov,21,9.0,"Governance, development and funding"
BAI,s2_m&a,18,10.0,Mitigation and adaptation
BAI,s3_c&a,7,5.0,Commitment and intergration
BAI,s4_coms,9,6.0,"Community, engagement and communications"
BAI,s5_mset,5,3.0,Measuring and setting emissions targets
